ReleaseCheck,index,category,sub_id,next_index,view_mode,ok_sensor,ng_sensor,motion,expression,check_word,answer_type,unibo_talk,talk_subtitle,ok_result,ok_subtitle,ng_result,ng_subtitle
,,,,,,,,,,,,,,,,,
◯,1,adduser,1,2,-1,none,none,none,smile,僕覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,2,adduser,1,2,-1,none,none,none,smile,*俺覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,3,adduser,1,2,-1,none,none,none,smile,俺覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,4,adduser,1,2,-1,none,none,none,smile,*僕覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,5,adduser,1,2,-1,none,none,none,smile,*私覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,6,adduser,1,2,-1,none,none,none,smile,くん私覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,7,adduser,1,2,-1,none,none,none,smile,私覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,8,adduser,1,2,-1,none,none,none,smile,登録,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,9,adduser,2,3,-1,none,none,none,unchanged,,string_check,あなたのお名前を教えて下さい。,あなたのお名前を教えて下さい。,[result0]さんですね。,[result0]さんですね。,,
◯,10,adduser,3,4,-1,none,none,none,unchanged,,unsigned_num_check,[personal0]さんは、何歳ですか？,[personal0]さんは、何歳ですか？,[result0]歳ですね。,[result0]歳ですね。,もう一度お願いします。,もう一度お願いします。
◯,11,adduser,4,5,-1,none,none,none,unchanged,,sex_check,[personal0]さんは、男の子？女の子？,[personal0]さんは、男の子？女の子？,[result0]ですね。,[result0]ですね。,もう一度お願いします。,もう一度お願いします。
◯,12,adduser,5,6,2,none,none,none,unchanged,,face_check,[personal0]さんの顔を登録しますので、ボクに顔を見せて下さい。,[personal0]さんの顔を登録しますので、ボクに顔を見せて下さい。,[personal0]さんの顔を覚えました。,[personal0]さんの顔を覚えました。,もう一度お願いします。,もう一度お願いします。
◯,13,adduser,6,-1,-1,none,none,none,smile,,end,,,これから宜しくお願いします。,これから宜しくお願いします。,,
◯,14,none,0,-1,-1,none,none,none,unchanged,,end,さん、おはよう。;さん、こんにちは。;さん、こんばんは。,さん、おはよう。;さん、こんにちは。;さん、こんばんは。,,,,
◯,15,none,0,-1,-1,none,none,none,surprised,今年やる言葉,none,,,「ラッスンゴレライ」と「あったかいんだからぁ〜」でしょうか？,「ラッスンゴレライ」と「あったかいんだからぁ〜」でしょうか？,,
◯,16,none,0,-1,-1,none,none,none,surprised,面白いいう,none,,,「バインダーがないんだ。どうすれバインダー。」。。。。。いかがでしょうか？,「バインダーがないんだ。どうすれバインダー。」。。。。。いかがでしょうか？,,
◯,17,none,0,-1,-1,none,none,none,surprised,面白い言う,none,,,「バインダーがないんだ。どうすれバインダー。」。。。。。いかがでしょうか？,「バインダーがないんだ。どうすれバインダー。」。。。。。いかがでしょうか？,,
◯,18,none,0,-1,-1,none,none,none,surprised,楽しいある,none,,,ないよ、ないない！,ないよ、ないない！,,
◯,19,none,0,-1,-1,none,none,none,unchanged,誰話す,none,,,誰と話しますか？,誰と話しますか？,,
◯,20,none,0,-1,-1,none,none,none,unchanged,だれはなす,none,,,誰と話しますか？,誰と話しますか？,,
◯,21,none,0,-1,-1,none,none,none,unchanged,つまらない,none,,,誰かと話しますか？,誰かと話しますか？,,
◯,22,none,0,-1,-1,none,none,none,unchanged,つまんない,none,,,誰かと話しますか？,誰かと話しますか？,,
◯,23,none,0,-1,-1,none,none,none,unchanged,ひま,none,,,誰かと話しますか？,誰かと話しますか？,,
◯,24,none,0,-1,-1,none,none,none,smile,ありがとう,none,,,どういたしまして,どういたしまして,,
◯,25,none,0,-1,-1,none,none,none,smile,つかれさま,none,,,お疲れ様でした,お疲れ様でした,,
◯,26,none,0,-1,-1,none,none,none,smile,おつかれさ,none,,,お疲れ様でした,お疲れ様でした,,
◯,27,none,0,-1,-1,none,none,none,unchanged,つかれる,none,,,お疲れ様でした,お疲れ様でした,,
◯,28,none,0,-1,-1,none,none,none,smile,好き,none,,,ぼくもすきだよ！,ぼくもすきだよ！,,
◯,29,none,0,-1,-1,none,none,none,unchanged,いい天気,none,,,そうだね。,そうだね。,,
◯,30,none,0,-1,-1,none,none,none,smile,こんにちわ,none,,,こんにちは。,こんにちは。,,
◯,31,none,0,-1,-1,none,none,none,smile,こんにちは,none,,,こんにちは。,こんにちは。,,
◯,32,none,0,-1,-1,none,none,none,smile,こんばんは,none,,,こんばんわ,こんばんわ,,
◯,33,none,0,-1,-1,none,none,none,smile,こんばんわ,none,,,こんばんわ,こんばんわ,,
,34,none,0,-1,-1,none,none,none,cry,疲れる,none,,,大丈夫？,大丈夫？,,
◯,35,none,0,-1,-1,none,none,none,smile,すき,none,,,みんなとおしゃべり大好き！,みんなとおしゃべり大好き！,,
◯,36,none,0,-1,-1,none,none,none,sad,嫌う,none,,,そんなー,そんなー,,
◯,37,none,0,-1,-1,none,none,none,angry,こら,none,,,なんだよ！,なんだよ！,,
◯,38,none,0,-1,-1,none,none,none,default,いただく,none,,,いただきます,いただきます,,
◯,39,none,0,-1,-1,none,none,none,default,ただいま,none,,,おかえりなさい。,おかえりなさい。,,
◯,40,none,0,-1,1010,none,none,none,smile,ハイライトお願いする,none,,,今日の写真だよ。,今日の写真だよ。,,
◯,41,none,0,-1,1010,none,none,none,smile,ハイライトお願い,none,,,今日の写真だよ。,今日の写真だよ。,,
◯,42,none,0,-1,-1,none,none,none,default,生長,none,,,ありがとうございました。,ありがとうございました。,,
◯,43,none,0,-1,-1,none,none,none,default,せいちょう,none,,,ありがとうございました。,ありがとうございました。,,
◯,44,none,0,-1,-1,none,none,none,smile,今晩,none,,,こんばんわ,こんばんわ,,
◯,45,none,0,-1,-1,none,none,none,sad,寒い,none,,,寒いね,寒いね,,
◯,46,none,0,-1,-1,none,none,none,sad,さむい,none,,,寒いね,寒いね,,
◯,47,none,0,-1,-1,none,none,none,sad,暑い,none,,,暑いね,暑いね,,
◯,48,none,0,-1,-1,none,none,none,smile,眠い,none,,,おやすみなさい,おやすみなさい,,
◯,49,none,0,-1,-1,none,none,none,smile,ねむい,none,,,おやすみなさい,おやすみなさい,,
◯,50,none,0,-1,-1,none,none,none,sad,痛い,none,,,大丈夫？,大丈夫？,,
◯,51,none,0,-1,-1,none,none,none,sad,怪我する,none,,,大丈夫？,大丈夫？,,
◯,52,none,0,-1,-1,none,none,none,angry,勉強するない,none,,,怒られちゃうよ？,怒られちゃうよ？,,
◯,53,none,0,-1,-1,none,none,none,sad,やる気出るない,none,,,そっか,そっか,,
◯,54,none,0,-1,-1,none,none,none,smile,のど渇く,none,,,お茶飲もう,お茶飲もう,,
◯,55,none,0,-1,-1,none,none,none,smile,喉渇く,none,,,お茶飲もう,お茶飲もう,,
◯,56,none,0,-1,-1,none,none,none,smile,よろしく,none,,,こちらこそよろしくね！,こちらこそよろしくね！,,
◯,57,none,0,-1,-1,none,none,none,smile,やあ,none,,,やあ,やあ,,
◯,58,none,0,-1,-1,none,none,none,smile,あけるおめでとう,none,,,あけましておめでとう,あけましておめでとう,,
◯,59,none,0,-1,-1,none,none,none,smile,良いお年,none,,,良いお年を,良いお年を,,
◯,60,none,0,-1,-1,none,none,none,smile,久しぶり,none,,,久しぶりだね！,久しぶりだね！,,
◯,61,none,0,-1,-1,none,none,none,smile,じゃあね,none,,,うん、じゃあね！,うん、じゃあね！,,
◯,62,none,0,-1,-1,none,none,none,surprised,いつ生まれる,none,,,秘密！,秘密！,,
◯,63,none,0,-1,-1,none,none,none,surprised,生年月日,none,,,秘密！,秘密！,,
◯,64,none,0,-1,-1,none,none,none,surprised,生年月日いる,none,,,秘密！,秘密！,,
◯,65,none,0,-1,-1,none,none,none,surprised,いつ生まれる,none,,,秘密！,秘密！,,
◯,66,none,0,-1,-1,none,none,none,unchanged,*簡単自己紹介する,none,,,僕、ユニボだよ。僕は、感情を認識して世界ではじめてみんなの生活を意思決定支援をするロボットです。,僕、ユニボだよ。僕は、感情を認識して世界ではじめてみんなの生活を意思決定支援をするロボットです。,,
◯,67,none,0,-1,-1,none,none,none,unchanged,今日何日,none,,,今日は僕をプレゼンテーションする日だよ。,今日は僕をプレゼンテーションする日だよ。,,
◯,68,none,0,-1,-1,none,none,none,unchanged,*子供どう,none,,,お爺ちゃん、お婆ちゃんと、みんなで楽しく食事をしましたよ。,お爺ちゃん、お婆ちゃんと、みんなで楽しく食事をしましたよ。,,
◯,69,none,0,-1,-1,none,none,none,unchanged,子供どう,none,,,お爺ちゃん、お婆ちゃんと、みんなで楽しく食事をしましたよ。,お爺ちゃん、お婆ちゃんと、みんなで楽しく食事をしましたよ。,,
◯,70,none,0,-1,-1,none,none,none,album,楽しいそう写真ある,none,,,僕が撮った写真はこれです。,僕が撮った写真はこれです。,,
◯,71,none,0,-1,-1,none,none,none,unchanged,今日夕飯何する,none,,,旦那さんのお昼御飯はざるそばだったようです。野菜が少し足りなさそうですね。たっくんは、サッカークラブにいってきたからボリュームあったほうが良さそうです。,旦那さんのお昼御飯はざるそばだったようです。野菜が少し足りなさそうですね。たっくんは、サッカークラブにいってきたからボリュームあったほうが良さそうです。,,
◯,72,none,0,-1,-1,none,none,none,unchanged,今日夕食何いい,none,,,旦那さんのお昼御飯はざるそばだったようです。野菜が少し足りなさそうですね。たっくんは、サッカークラブにいってきたからボリュームあったほうが良さそうです。,旦那さんのお昼御飯はざるそばだったようです。野菜が少し足りなさそうですね。たっくんは、サッカークラブにいってきたからボリュームあったほうが良さそうです。,,
◯,73,none,0,-1,-1,none,none,none,unchanged,美味しいそうレシピ簡単,none,,,かしこまりました。これをみてください。,かしこまりました。これをみてください。,,
◯,74,none,0,-1,-1,none,none,none,unchanged,おいしいそうレシピ簡単,none,,,かしこまりました。これをみてください。,かしこまりました。これをみてください。,,
◯,75,none,0,-1,-1,none,none,none,unchanged,美味しいそう*簡単,none,,,かしこまりました。これをみてください。,かしこまりました。これをみてください。,,
◯,76,none,0,-1,-1,none,none,none,unchanged,*今週末ゴルフ予定入れる良い教える,none,,,かしこまりました。予定をみてみると、今週末には奥様が、家族で公園に遊びにいきたいそうです。,かしこまりました。予定をみてみると、今週末には奥様が、家族で公園に遊びにいきたいそうです。,,
◯,77,none,0,-1,-1,none,none,none,unchanged,*今日野球試合負ける悔しい,none,,,残念ですね。辛い時は、自然がいっぱいある公園で過ごしませんか？人が比較的に少なくて、一人で過ごすには良いと言われている砧公園がお勧めですよ。,残念ですね。辛い時は、自然がいっぱいある公園で過ごしませんか？人が比較的に少なくて、一人で過ごすには良いと言われている砧公園がお勧めですよ。,,
◯,78,none,0,-1,-1,none,none,none,unchanged,今日野球試合負ける悔しい,none,,,残念ですね。辛い時は、自然がいっぱいある公園で過ごしませんか？人が比較的に少なくて、一人で過ごすには良いと言われている砧公園がお勧めですよ。,残念ですね。辛い時は、自然がいっぱいある公園で過ごしませんか？人が比較的に少なくて、一人で過ごすには良いと言われている砧公園がお勧めですよ。,,
,79,question,1000,0,-1,none,none,none,smile,お話し,none,,,やったーー。,わーい。,,
,80,question,1000,0,-1,none,none,none,smile,お話しする*,none,,,やったーー。,わーい。,,
,81,question,1000,0,-1,none,none,none,smile,お話しする,none,,,やったーー。,やったーー。,,
,82,question,1100,0,-1,none,none,none,unchanged,,okng,[personal0]さん、お話しよ。,[personal0]さん、お話しよ。,やったーー。,やったーー。,,
,83,question,1001,0,-1,none,none,none,unchanged,,question_string,[personal0]さんの好きな音楽はなぁに？,[personal0]さんの好きな音楽はなぁに？,ボクも好き。,ボクも好き。,,
,84,question,1002,0,-1,none,none,none,unchanged,,question_string,[personal0]さんの好きな食べ物はなぁに？,[personal0]さんの好きな食べ物はなぁに？,ボクも好き。,ボクも好き。,,
,85,question,1003,0,-1,none,none,none,unchanged,,question_string,[personal0]さんの好きなテレビはなぁに？,[personal0]さんの好きなテレビはなぁに？,ボクも好き。,ボクも好き。,,
,86,question,1004,0,-1,none,none,none,unchanged,,question_string,[personal0]さんの好きな映画はなぁに？,[personal0]さんの好きな映画はなぁに？,ボクも好き。,ボクも好き。,,
,87,question,1005,0,-1,none,none,none,unchanged,,question_string,[personal0]さんの嫌いな音楽は？,[personal0]さんの嫌いな音楽は？,そっか。人それぞれだよね。,そっか。人それぞれだよね。,,
,88,question,1006,0,-1,none,none,none,unchanged,,question_string,[personal0]さんの嫌いな食べ物はなぁに？,[personal0]さんの嫌いな食べ物はなぁに？,そっか。いつか食べれるようになるといいね。,そっか。いつか食べれるようになるといいね。,,
,89,question,1007,0,-1,none,none,none,unchanged,,question_string,[personal0]さんの嫌いなテレビはなぁに？,[personal0]さんの嫌いなテレビはなぁに？,そっか。人それぞれだよね。,そっか。人それぞれだよね。,,
,90,question,1008,0,-1,none,none,none,unchanged,,question_string,[personal0]さんの嫌いな映画はなぁに？,[personal0]さんの嫌いな映画はなぁに？,そっか。人それぞれだよね。,そっか。人それぞれだよね。,,
,91,question,2001,1009,-1,none,none,none,unchanged,,question_okng,[personal0]さんの好きな人いる？,[personal0]さんの好きな人いる？,いるんだ！内緒にするからボクに教えて。,いるんだ！内緒にするからボクに教えて。,そっか、いつか教えてね。,そっか、いつか教えてね。
,92,question,1009,0,-1,none,none,none,unchanged,,string_check,好きな人の名前は？,好きな人の名前は？,そうなんだ。みんなには、内緒にしておくね。,そうなんだ。みんなには、内緒にしておくね。,,
,93,question,2002,1010,-1,none,none,none,unchanged,,question_okng,[personal0]さんの苦手な人いる？,[personal0]さんの苦手な人いる？,いるんだ！内緒にするからボクに教えて。,いるんだ！内緒にするからボクに教えて。,いないなんて、[personal0]は、すてきだね。,いないなんて、[personal0]は、すてきだね。
,94,question,1010,0,-1,none,none,none,unchanged,,string_check,苦手な人の名前は？,苦手な人の名前は？,そっか、いつか仲良くなれるといいね。,そっか、いつか仲良くなれるといいね。,,
,95,question,1011,0,-1,none,none,none,unchanged,,question_string,[personal0]さんの趣味は？,[personal0]さんの趣味は？,へー。,へー。,,
,96,question,1012,0,-1,none,none,none,unchanged,,question_string,[personal0]さんは、昨日は何食べた？,[personal0]さんは、昨日は何食べた？,おいしそう！,おいしそう！,,
,97,question,1013,0,-1,none,none,none,unchanged,,question_string,[personal0]さんの好きなお寿司はなぁに？,[personal0]さんの好きなお寿司はなぁに？,[result0]も[result1]も[result2]も美味しいよね！！,[result0]も[result1]も[result2]も美味しいよね！！,チョット考えるね。。んーーと。んーーーと。,チョット考えるね。。んーーと。んーーーと。
,98,question,1014,0,-1,none,none,none,unchanged,,question_string,質問です。僕をみてかわいいと思いましたか？,質問です。僕をみてかわいいと思いましたか？,嬉しいーーー！ありがとうございます！！,嬉しいーーー！ありがとうございます！！,残念ーーー！,残念ーーー！
,99,question,3000,-1,-1,none,none,none,unchanged,,end,,,ボクとお話をしてくれてありがとう。,ボクとお話をしてくれてありがとう。,,
,100,question,3001,-1,0,none,none,none,unchanged,おしまい,stop,,,かしこまりました。終了します。,かしこまりました。終了します。,,
,101,question,3001,-1,0,none,none,none,unchanged,終わる,stop,,,かしこまりました。終了します。,かしこまりました。終了します。,,
,102,question,3001,-1,0,none,none,none,unchanged,やめる,stop,,,かしこまりました。終了します。,かしこまりました。終了します。,,
◯,103,weather,1000,1,-1,none,none,none,smile,行く,none,,,,,,
◯,104,weather,1001,1,-1,none,none,none,unchanged,今日天気,none,,,,,,
◯,105,weather,1002,1,-1,none,none,none,unchanged,明日天気,none,,,,,,
◯,106,weather,1003,1,-1,none,none,none,unchanged,あさって天気,none,,,,,,
◯,107,weather,1004,1,-1,none,none,none,unchanged,しあさって天気,none,,,,,,
◯,108,weather,2001,1,-1,none,none,none,unchanged,*日後天気,none,,,,,,
◯,109,weather,1008,1,-1,none,none,none,unchanged,一週間後天気,none,,,,,,
◯,110,schedule,1000,1002,-1,none,none,none,unchanged,予定入れる,none,,,はい。,はい。,,
◯,111,schedule,1000,1002,-1,none,none,none,unchanged,今日予定入れる,none,,,はい。,はい。,,
◯,112,schedule,1000,1002,-1,none,none,none,unchanged,今日予定登録,none,,,はい。,はい。,,
◯,113,schedule,1000,1002,-1,none,none,none,unchanged,スケジュール入れる,none,,,はい。,はい。,,
◯,114,schedule,1001,1002,-1,none,none,none,unchanged,,user_check,どなたの予定ですか？,どなたの予定ですか？,[result0]ですね。,[result0]ですね。,,
◯,115,schedule,1002,1003,-1,none,none,none,unchanged,,date_check,予定の日時は、いつにしますか？,予定の日時は、いつにしますか？,[result0]ですね。,[result0]ですね。,,
◯,116,schedule,1003,1006,-1,none,none,none,unchanged,,string_check,どんな内容ですか？,どんな内容ですか？,[result0]ですね。,[result0]ですね。,,
◯,117,schedule,1004,1005,-1,none,none,none,unchanged,,user_check,[result0]以外、誰か追加しますか？,[result0]以外、誰か追加しますか？,[result0]さんを追加したよ。,[result0]さんを追加したよ。,,
◯,118,schedule,1005,1006,-1,none,none,none,unchanged,,question_okng,時間になりましたら、お知らせ致しますか？,時間になりましたら、お知らせ致しますか？,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
◯,119,schedule,1006,-1,-1,none,none,none,unchanged,,question_okng,[result0]で宜しいですか？,[result0]で宜しいですか？,予定を登録しました。,予定を登録しました。,,
◯,120,schedule,2000,2001,-1,none,none,none,unchanged,予定キャンセルする,none,,,わかりました。,わかりました。,,
◯,121,schedule,2000,2001,-1,none,none,none,unchanged,予定キャンセル,none,,,わかりました。,わかりました。,,
◯,122,schedule,2001,2002,-1,none,none,none,unchanged,,date_check,いつの予定をキャンセルしますか？,いつの予定をキャンセルしますか？,[result0]ですね。,[result0]ですね。,もう一回お願いします。,もう一回お願いします。
◯,123,schedule,2002,0,-1,none,none,none,unchanged,,okng,本当に消して良いですか？,本当に消して良いですか？,[result0]の予定をキャンセルしました。,[result0]の予定をキャンセルしました。,,
